category,bucket,horizon_days,half,n_obs,win_rate,wilson_low,wilson_high,ev_yes,ev_yes_low,ev_yes_high,ev_no,ev_no_low,ev_no_high,graduated_side
Climate and Weather,0.00-0.05,1,early,370,0.013513513513513514,0.005785523185966163,0.031239783788966535,-0.02321621621621622,-0.034066266814289724,-0.010151394832126409,-0.007567567567567557,-0.02043333563154991,0.0032795992714025595,
Climate and Weather,0.00-0.05,1,late,388,0.01288659793814433,0.005516524964274582,0.029807953090122904,-0.021881443298969076,-0.0320261221402789,-0.01080579485959068,-0.008840206185567002,-0.020064778325123146,0.0013497178016284301,
Commodities,0.00-0.05,1,early,592,0.006756756756756757,0.0026305737584385,0.017243164496829343,-0.030777027027027025,-0.03756429479687119,-0.02039796361661689,-0.0017060810810810732,-0.010857812918009132,0.004825461746676227,
Commodities,0.00-0.05,1,late,620,0.004838709677419355,0.0016469039610437029,0.014128895536777536,-0.028612903225806455,-0.03509785114331894,-0.017330468218577588,0.0003387096774193621,-0.010335552160628536,0.005998353552859628,
Commodities,0.00-0.05,3,late,228,0.0043859649122807015,0.0007746305902254884,0.024421882891392997,-0.035,-0.041119656962311,-0.02564781616418874,0.002105263157894746,-0.006348089446466185,0.0072867872177573775,
Commodities,0.95-1.00,1,early,649,0.987673343605547,0.9758663117471615,0.9937410171975625,-0.007349768875192595,-0.018983798590206224,0.002935944551902,-0.0248998459167951,-0.03521178274729523,-0.012849839615076214,
Commodities,0.95-1.00,1,late,683,0.9897510980966325,0.9789968984868711,0.9950268065420613,-0.005490483162518294,-0.017371003996003984,0.00274494575122828,-0.026251830161054198,-0.03460596765892453,-0.01385943013408612,
Commodities,0.95-1.00,3,late,217,0.9953917050691244,0.9743623818582131,0.9991860800257798,0.0019815668202765096,-0.008860090446579979,0.008282051282051292,-0.03488479262672814,-0.04137458693941781,-0.02405083540703878,
Economics,0.00-0.05,1,early,226,0.008849557522123894,0.0024301812332489584,0.031687228321853333,-0.025960176991150448,-0.035750197930724245,-0.011797885847296236,-0.006902654867256633,-0.021315105309346202,0.0021693181818181854,
Elections,0.00-0.05,1,early,595,0.005042016806722689,0.0017161601959737195,0.014718235811250898,-0.0223327731092437,-0.027687163299663302,-0.015734438159488957,-0.006263865546218485,-0.012215024132841323,-0.0014911227953750708,
Elections,0.00-0.05,1,late,773,0.0,0.0,0.004945152267849713,-0.023875808538163006,-0.025443962309200454,-0.022388512175541882,-0.0003958602846054319,-0.0008722584959372638,4.7612167300381886e-05,
Elections,0.00-0.05,3,early,553,0.009041591320072333,0.0038679780864582358,0.02098936015838554,-0.020200723327305607,-0.027339711853307143,-0.012719631822386687,-0.011262206148282094,-0.019130784034888125,-0.004601110152303452,
Elections,0.00-0.05,3,late,802,0.0,0.0,0.0047671899787749845,-0.024255610972568578,-0.026310857511923684,-0.02259704763610468,-0.00044638403990024796,-0.0009654297617457581,2.938703076037734e-05,
Elections,0.00-0.05,7,early,547,0.005484460694698354,0.0018668943314681836,0.01599958488869238,-0.025819012797074957,-0.03160569303338171,-0.018939236377718285,-0.007237659963436924,-0.01451224362855727,-0.0015523454618844407,
Elections,0.00-0.05,7,late,698,0.0,0.0,0.005473599741024186,-0.026189111747851004,-0.028369451036930247,-0.02410415500986229,-0.0008495702005730642,-0.0014512240621637855,-0.00030319490559338003,
Elections,0.00-0.05,30,early,299,0.0033444816053511705,0.000590612094938053,0.018698679732868956,-0.03151505016722408,-0.03832364146718391,-0.0222100191422072,-0.00501003344481605,-0.013186142178792869,-0.0008922545946410131,
Elections,0.00-0.05,30,late,306,0.006535947712418301,0.0017941887691966078,0.02351422688577032,-0.027643790849673208,-0.03657173307961033,-0.017064654008486696,-0.00775490196078431,-0.018893856597045334,-0.0006185647775091729,
Entertainment,0.00-0.05,1,early,478,0.0020920502092050207,0.0003693842351612459,0.011754101989357349,-0.03679916317991633,-0.040692729510314544,-0.031045156716795794,-0.0015271966527196645,-0.006208160919540229,0.0007361068111455119,
Entertainment,0.00-0.05,1,late,320,0.0,0.0,0.011862589611711404,-0.03640625,-0.039668030415736834,-0.03346803428648869,0.001156250000000002,0.0006612676496313895,0.0016803814002089885,
Entertainment,0.00-0.05,3,early,321,0.003115264797507788,0.000550118408750886,0.017432800035192254,-0.028629283489096578,-0.034240953947368424,-0.020539399092970527,-0.0020249221183800603,-0.009191656188252198,0.0015243055555555578,
Entertainment,0.00-0.05,3,late,241,0.0,0.0,0.01569014415850901,-0.03195020746887967,-0.03497840909090909,-0.029502360139860143,0.0014522821576763508,0.0007802994417188308,0.0024299065420560783,
