metric_id,metric_name,metric_value,display_format,benchmark_name,benchmark_value,excess_value,period_start,period_end,notes
starting_bankroll_usd,Starting Bankroll,,,,,,,
ending_bankroll_usd,Ending Bankroll,,,,,,,
net_pnl_usd,Net PnL,,,,,,,
portfolio_total_return,Portfolio Total Return,,percent,,,,,
benchmark_return_tbill,T-Bill Return,,percent,TBILL_3M,,,,
benchmark_return_60_40,60/40 Return,,percent,BALANCED_60_40,,,,
excess_return_vs_tbill,Excess Return vs T-Bill,,percent,TBILL_3M,,,,
excess_return_vs_60_40,Excess Return vs 60/40,,percent,BALANCED_60_40,,,,
return_on_bankroll,Return On Bankroll,,percent,,,,,
return_on_deployed_capital,Return On Deployed Capital,,percent,,,,,
avg_capital_utilization,Average Capital Utilization,,percent,,,,,
annualized_volatility,Annualized Volatility,,percent,,,,,
max_drawdown,Max Drawdown,,percent,,,,,
sharpe_vs_tbill,Sharpe vs T-Bill,,decimal,TBILL_3M,,,,
sortino_vs_tbill,Sortino vs T-Bill,,decimal,TBILL_3M,,,,
trade_count,Trade Count,,integer,,,,,
hit_rate,Hit Rate,,percent,,,,,
